model;year;mileage;engine_type;price;gearbox;brand
Peugeot 3008;2023;6 153 km;Hybride rechargeable;39 950 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 Aircross;2023;4 947 km;Hybride rechargeable;44 050 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Peugeot 3008;2023;1 982 km;Hybride rechargeable;42 450 €;Automatique;Hybrid4 300 e-EAT8 GT
DS 4;2023;2 055 km;Hybride rechargeable;48 270 €;Automatique;Hybride E-Tense 225 EAT8 Performance Line+
Citroën C5 Aircross;2023;9 149 km;Hybride rechargeable;45 679 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Citroën C3;2023;10 km;Essence;18 250 €;Manuelle;PureTech 83 S&S BVM5 C-Series
Peugeot 208;2020;60 842 km;Diesel;15 389 €;Manuelle;BlueHDi 100 S&S BVM6 Allure Business
Peugeot 208;2021;13 376 km;Essence;17 489 €;Manuelle;PureTech 100 S&S BVM6 Style
Citroën C4 X;2022;27 km;Electrique;44 150 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Citroën C5 Aircross;2023;7 728 km;Hybride rechargeable;45 464 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Peugeot 3008;2023;3 591 km;Hybride rechargeable;46 600 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;4 935 km;Hybride rechargeable;46 300 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;3 620 km;Hybride rechargeable;46 850 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 X;2023;1 966 km;Hybride rechargeable;48 903 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Peugeot 308;2023;2 803 km;Hybride rechargeable;40 300 €;Automatique;SW PHEV 180 e-EAT8 Allure Pack
Peugeot 5008;2020;96 424 km;Diesel;29 470 €;Automatique;BlueHDi 180ch S&S EAT8 Allure Pack
Citroën C5 X;2023;5 828 km;Hybride rechargeable;43 490 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Citroën C5 X;2023;5 596 km;Hybride rechargeable;41 350 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine
Citroën C5 Aircross;2023;8 180 km;Diesel;34 700 €;Automatique;BlueHDi 130 S&S EAT8 SHINE
DS 3;2022;3 148 km;Electrique;43 450 €;Automatique;E-Tense Opera
Peugeot 3008;2023;5 420 km;Hybride rechargeable;46 100 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 Aircross;2023;4 598 km;Hybride rechargeable;43 137 €;Automatique;Hybride Rechargeable 225 e-EAT8 Feel Pack
Peugeot 308;2023;9 278 km;Hybride rechargeable;38 050 €;Automatique;PHEV 180 E-EAT8 ALLURE PACK
Citroën C5 Aircross;2023;5 195 km;Hybride rechargeable;43 583 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Citroën C5 Aircross;2023;6 941 km;Hybride rechargeable;43 583 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Peugeot 3008;2023;3 814 km;Hybride rechargeable;46 500 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 308;2020;79 726 km;Diesel;19 789 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Citroën C5 X;2023;4 538 km;Hybride rechargeable;48 374 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Citroën C5 Aircross;2023;4 851 km;Hybride rechargeable;44 500 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
DS 4;2023;5 440 km;Diesel;36 890 €;Automatique;BlueHDi 130 EAT8 Rivoli
Citroën C5 Aircross;2023;4 794 km;Hybride rechargeable;43 583 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Toyota Rav4;2021;21 665 km;Hybride;34 970 €;Automatique;Hybride 218 ch 2WD Dynamic
Peugeot 508;2023;2 502 km;Hybride rechargeable;43 534 €;Automatique;SW Hybrid 225 e-EAT8 GT
Peugeot 508;2023;3 634 km;Hybride rechargeable;46 200 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 Aircross;2023;4 026 km;Hybride rechargeable;43 525 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Peugeot 2008;2020;58 968 km;Diesel;23 589 €;Automatique;BlueHDi 130 S&S EAT8 GT Line
Suzuki Swift;2021;19 532 km;Essence;19 489 €;Manuelle;SPORT 1.4 Boosterjet Hybrid
Peugeot 3008;2023;6 153 km;Hybride rechargeable;39 950 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;1 982 km;Hybride rechargeable;42 450 €;Automatique;Hybrid4 300 e-EAT8 GT
Renault Arkana;2022;9 812 km;Essence;26 789 €;Automatique;TCe 160 EDC FAP - 22 R.S. Line
Citroën C5 Aircross;2023;3 910 km;Hybride rechargeable;43 583 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Citroën C5 X;2023;2 399 km;Hybride rechargeable;41 094 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine
Peugeot 508;2023;5 km;Essence;34 550 €;Automatique;PureTech 130 ch S&S EAT8 Allure Pack
Citroën C5 X;2023;3 824 km;Hybride rechargeable;48 043 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Peugeot 2008;2021;11 958 km;Essence;21 589 €;Manuelle;PureTech 100 S&S BVM6 Allure
Peugeot 508;2023;3 736 km;Hybride rechargeable;50 200 €;Automatique;SW Hybrid 225 e-EAT8 GT
Peugeot 208;2020;39 710 km;Essence;13 290 €;Manuelle;PureTech 75 S&S BVM5 Active Business
Peugeot 3008;2023;3 233 km;Hybride rechargeable;47 150 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 Aircross;2023;9 395 km;Hybride rechargeable;43 138 €;Automatique;Hybride Rechargeable 225 e-EAT8 Feel Pack
Citroën C5 Aircross;2023;10 859 km;Hybride rechargeable;41 621 €;Automatique;Hybride Rechargeable 180 e-EAT8 Shine
Peugeot 3008;2023;4 747 km;Hybride rechargeable;46 350 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 Aircross;2023;6 109 km;Hybride rechargeable;43 137 €;Automatique;Hybride Rechargeable 225 e-EAT8 Feel Pack
Citroën C5 Aircross;2023;2 283 km;Hybride rechargeable;44 001 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Peugeot 308;2023;5 274 km;Hybride rechargeable;39 600 €;Automatique;PHEV 180 E-EAT8 ALLURE PACK
Peugeot 3008;2023;2 609 km;Hybride rechargeable;47 400 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;3 529 km;Hybride rechargeable;47 350 €;Automatique;Hybrid 225 e-EAT8 GT
DS 7;2023;4 515 km;Hybride rechargeable;57 250 €;Automatique;CROSSBACK Hybride Rechargeable E-Tense 300 EAT8 4x4 Performa
Citroën C3;2022;21 009 km;Essence;17 100 €;Manuelle;PureTech 110 S&S BVM6 Shine Pack
Peugeot 308;2023;3 061 km;Hybride rechargeable;40 200 €;Automatique;PHEV 180 E-EAT8 ALLURE PACK
DS 7;2023;8 km;Hybride rechargeable;52 650 €;Automatique;CROSSBACK Hybride Rechargeable E-Tense 225 EAT8 Bastille
Citroën C3;2022;18 668 km;Essence;17 200 €;Manuelle;PureTech 110 S&S BVM6 Shine Pack
Peugeot 208;2022;11 843 km;Electrique;34 944 €;Automatique;Electrique 50 kWh 136ch Allure
Peugeot 508;2023;2 502 km;Hybride rechargeable;43 534 €;Automatique;SW Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;4 266 km;Hybride rechargeable;47 000 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;4 498 km;Hybride rechargeable;48 350 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 208;2022;3 412 km;Electrique;31 650 €;Automatique;Electrique 50 kWh 136ch GT Pack
Citroën C5 Aircross;2023;4 776 km;Diesel;35 542 €;Automatique;BlueHDi 130 S&S EAT8 Shine Pack
DS 4;2023;3 745 km;Diesel;37 000 €;Automatique;BlueHDi 130 EAT8 Rivoli
Peugeot 208;2022;11 271 km;Electrique;29 258 €;Automatique;Electrique 50 kWh 136ch Style
Peugeot 2008;2022;11 199 km;Diesel;28 990 €;Automatique;BlueHDi 130 S&S EAT8 GT Pack
Citroën C5 Aircross;2023;5 203 km;Hybride rechargeable;43 322 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Peugeot 3008;2019;55 960 km;Essence;22 790 €;Automatique;Puretech 130ch S&S EAT8 Allure
Citroën C5 Aircross;2023;8 691 km;Hybride rechargeable;44 208 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Peugeot 208;2020;37 115 km;Essence;18 990 €;Manuelle;PureTech 100 S&S BVM6 GT Line
Citroën C5 X;2023;8 170 km;Hybride rechargeable;46 901 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Peugeot 3008;2023;1 957 km;Hybride rechargeable;49 550 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;5 031 km;Hybride rechargeable;47 750 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 Aircross;2023;4 919 km;Hybride rechargeable;43 138 €;Automatique;Hybride Rechargeable 225 e-EAT8 Feel Pack
Citroën C4 X;2023;1 169 km;Electrique;42 250 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Citroën C4 Cactus;2018;45 726 km;Essence;15 490 €;Automatique;PureTech 110 S&S EAT6 Shine
Peugeot 3008;2023;1 974 km;Hybride rechargeable;49 200 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 Aircross;2023;6 832 km;Hybride rechargeable;44 002 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Citroën C5 X;2023;3 485 km;Hybride rechargeable;39 600 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Citroën C5 X;2023;5 974 km;Hybride rechargeable;40 250 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Citroën C5 Aircross;2023;4 858 km;Hybride rechargeable;44 200 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Citroën C5 X;2023;3 939 km;Hybride rechargeable;48 138 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Peugeot 508;2023;2 502 km;Hybride rechargeable;43 534 €;Automatique;SW Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;3 560 km;Hybride rechargeable;45 711 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 Aircross;2020;55 331 km;Diesel;23 490 €;Automatique;BlueHDI 130 S&S EAT8 FEEL
Peugeot 508;2023;3 km;Essence;37 800 €;Automatique;PureTech 130 ch S&S EAT8 GT Pack
DS 3;2023;12 km;Electrique;40 688 €;Automatique;E-Tense Opera
Citroën C5 Aircross;2023;2 313 km;Hybride rechargeable;40 890 €;Automatique;Hybride Rechargeable 225 e-EAT8 C-Series
Citroën C5 X;2023;4 313 km;Hybride rechargeable;46 829 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
DS 7;2023;10 123 km;Hybride rechargeable;62 676 €;Automatique;CROSSBACK Crossback Hybride E-Tense 300 EAT8 4x4 Rivoli
Citroën C4 X;2023;1 169 km;Electrique;42 250 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Peugeot 508;2023;2 km;Essence;34 550 €;Automatique;PureTech 130 ch S&S EAT8 Allure Pack
Citroën C5 X;2023;5 974 km;Hybride rechargeable;40 250 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
DS 3;2023;12 km;Electrique;40 688 €;Automatique;E-Tense Opera
Citroën C5 X;2023;3 485 km;Hybride rechargeable;39 600 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Peugeot 508;2023;5 km;Hybride rechargeable;47 600 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 208;2022;13 163 km;Electrique;36 490 €;Automatique;Electrique 51 kWh 156ch GT
Peugeot 508;2023;5 km;Hybride rechargeable;53 350 €;Automatique;SW Hybrid 225 e-EAT8 GT
Peugeot 508;2023;5 km;Essence;37 977 €;Automatique;PureTech 130 ch S&S EAT8 Allure Pack
Citroën C5 X;2023;2 601 km;Hybride rechargeable;48 043 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Peugeot 508;2023;5 km;Hybride rechargeable;44 350 €;Automatique;Hybrid 225 e-EAT8 Allure Pack
Peugeot 508;2023;5 km;Essence;34 550 €;Automatique;PureTech 130 ch S&S EAT8 Allure Pack
Peugeot 3008;2023;4 001 km;Hybride rechargeable;48 550 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;3 211 km;Diesel;32 900 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 508;2023;8 km;Essence;41 181 €;Automatique;PureTech 130 ch S&S EAT8 GT Pack
Peugeot 508;2023;12 717 km;Hybride rechargeable;44 608 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 Aircross;2023;148 km;Hybride rechargeable;42 873 €;Automatique;Hybride Rechargeable 225 e-EAT8 Feel Pack
Peugeot 3008;2023;6 866 km;Essence;34 043 €;Automatique;Puretech 130ch S&S EAT8 Allure Pack
Peugeot 5008;2023;5 km;Essence;36 450 €;Automatique;PureTech 130ch S&S EAT8 Allure Pack
Citroën C5 X;2023;4 102 km;Hybride rechargeable;46 925 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
DS 7;2023;4 281 km;Hybride rechargeable;56 650 €;Automatique;CROSSBACK Crossback Hybride E-Tense 225 EAT8 Performance Lin
Citroën C4 X;2023;1 169 km;Electrique;42 250 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Citroën C4 X;2022;1 057 km;Electrique;34 900 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
DS 3;2023;1 139 km;Electrique;41 800 €;Automatique;E-Tense Bastille
Citroën C5 X;2023;5 974 km;Hybride rechargeable;40 250 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Citroën C4 X;2022;9 km;Electrique;44 150 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Peugeot 3008;2022;18 480 km;Hybride rechargeable;32 990 €;Automatique;Hybrid 225 e-EAT8 Allure
Citroën C4 X;2022;2 232 km;Electrique;42 000 €;Automatique;e-C4 X 136 ch Automatique Shine
Peugeot 208;2022;38 km;Electrique;33 200 €;Automatique;Electrique 50 kWh 136ch GT Pack
Citroën C4 X;2022;2 236 km;Electrique;41 900 €;Automatique;e-C4 X 136 ch Automatique Shine
Citroën C4 X;2022;2 735 km;Electrique;42 000 €;Automatique;e-C4 X 136 ch Automatique Shine
Citroën C4 X;2023;6 km;Electrique;44 150 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Citroën C4 X;2022;4 km;Electrique;44 150 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Citroën C4 X;2022;7 km;Electrique;44 150 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Peugeot 508;2022;14 km;Hybride rechargeable;50 660 €;Automatique;Hybrid 225 e-EAT8 GT Pack
Citroën C5 X;2022;1 782 km;Hybride rechargeable;42 500 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine
Citroën C5 X;2023;4 095 km;Hybride rechargeable;42 500 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine
Citroën C5 X;2023;3 485 km;Hybride rechargeable;39 600 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Citroën C4 X;2022;2 470 km;Electrique;36 550 €;Automatique;e-C4 X 136 ch Automatique Shine
Citroën C4 X;2022;3 474 km;Electrique;41 950 €;Automatique;e-C4 X 136 ch Automatique Shine
Citroën C4 X;2022;9 km;Electrique;40 750 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Citroën C4 X;2022;1 830 km;Electrique;42 000 €;Automatique;e-C4 X 136 ch Automatique Shine
DS 3;2022;1 132 km;Electrique;38 550 €;Automatique;E-Tense Rivoli
Citroën C5 X;2022;3 099 km;Hybride rechargeable;42 450 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine
DS 3;2022;124 km;Electrique;40 077 €;Automatique;E-tense performance Line
Peugeot 208;2022;4 km;Electrique;33 200 €;Automatique;Electrique 50 kWh 136ch GT Pack
Citroën C5 X;2022;18 475 km;Hybride rechargeable;44 050 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
DS 3;2022;8 796 km;Electrique;41 491 €;Automatique;E-Tense Bastille
Peugeot 508;2023;19 km;Hybride rechargeable;51 250 €;Automatique;Hybrid 225 e-EAT8 GT Pack
Citroën C5 Aircross;2023;28 km;Hybride rechargeable;42 600 €;Automatique;Hybride Rechargeable 225 e-EAT8 C-Series
DS 3;2022;5 255 km;Electrique;38 950 €;Automatique;E-tense performance Line
Citroën C4 X;2022;172 km;Electrique;44 150 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
DS 3;2023;12 km;Electrique;40 688 €;Automatique;E-Tense Opera
Peugeot 3008;2022;11 238 km;Hybride rechargeable;44 201 €;Automatique;Hybrid4 300 e-EAT8 GT
Citroën C4 X;2022;81 km;Electrique;44 150 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Citroën C4 X;2022;1 471 km;Electrique;38 850 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
Citroën C5 X;2022;125 km;Hybride rechargeable;46 200 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
DS 3;2023;119 km;Electrique;42 756 €;Automatique;E-Tense Performance Line+
Peugeot 508;2020;4 365 km;Hybride rechargeable;34 450 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 508;2023;6 km;Hybride rechargeable;45 000 €;Automatique;SW Hybrid 225 e-EAT8 Active Pack
Peugeot 2008;2022;3 540 km;Electrique;32 650 €;Automatique;Electrique 136 ch Active Pack
DS 3;2022;8 909 km;Electrique;41 488 €;Automatique;E-Tense Bastille
Citroën C5 X;2022;29 373 km;Hybride rechargeable;33 900 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
DS 3;2022;5 879 km;Electrique;39 101 €;Automatique;E-Tense Performance Line+
DS 3;2022;3 358 km;Electrique;45 310 €;Automatique;E-Tense Opera
Citroën C5 X;2023;3 122 km;Hybride rechargeable;40 689 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine
Citroën C5 X;2023;5 043 km;Hybride rechargeable;43 276 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
DS 3;2022;8 520 km;Electrique;41 498 €;Automatique;E-Tense Bastille
DS 3;2022;5 797 km;Electrique;45 574 €;Automatique;E-Tense Opera
Peugeot 2008;2022;741 km;Electrique;35 150 €;Automatique;Electrique 136 ch GT Pack
DS 3;2022;6 321 km;Electrique;41 566 €;Automatique;E-Tense Bastille
Peugeot 208;2022;4 km;Electrique;33 200 €;Automatique;Electrique 50 kWh 136ch GT Pack
Citroën C4;2022;6 192 km;Electrique;34 030 €;Automatique;e-C4 136 ch Automatique Shine Pack
DS 3;2022;7 230 km;Electrique;38 132 €;Automatique;E-Tense Performance Line+
DS 3;2022;14 360 km;Electrique;41 202 €;Automatique;E-Tense Bastille
Citroën C5 X;2023;5 214 km;Hybride rechargeable;42 450 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine
Citroën C3;2022;9 556 km;Diesel;20 376 €;Manuelle;BlueHDi 100 S&S BVM6 Shine
Peugeot 3008;2023;7 159 km;Hybride rechargeable;45 900 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 X;2023;7 363 km;Hybride rechargeable;45 800 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
DS 3;2022;8 211 km;Electrique;45 050 €;Automatique;E-Tense Opera
DS 3;2022;12 340 km;Electrique;38 525 €;Automatique;E-Tense Performance Line+
DS 3;2022;3 528 km;Electrique;39 797 €;Automatique;E-tense performance Line
DS 3;2022;9 937 km;Electrique;41 451 €;Automatique;E-Tense Bastille
Peugeot 508;2023;10 994 km;Essence;40 025 €;Automatique;SW PureTech 130 ch S&S EAT8 GT Pack
Citroën C4 X;2022;70 km;Electrique;44 150 €;Automatique;e-C4 X 136 ch Automatique Shine Pack
DS 3;2022;6 622 km;Electrique;41 578 €;Automatique;E-Tense Bastille
DS 3;2022;11 272 km;Electrique;37 953 €;Automatique;E-Tense Performance Line+
DS 3;2022;2 320 km;Electrique;44 180 €;Automatique;E-Tense Opera
DS 3;2022;1 365 km;Electrique;43 550 €;Automatique;E-Tense Opera
DS 3;2022;9 332 km;Electrique;41 475 €;Automatique;E-Tense Bastille
DS 3;2022;6 720 km;Electrique;38 144 €;Automatique;E-Tense Performance Line+
DS 3;2022;10 314 km;Electrique;38 840 €;Automatique;E-Tense Performance Line+
DS 3;2022;8 684 km;Electrique;45 050 €;Automatique;E-Tense Opera
DS 3;2022;7 308 km;Electrique;45 100 €;Automatique;E-Tense Opera
Citroën C4;2022;7 182 km;Electrique;31 962 €;Automatique;e-C4 136 ch Automatique Feel
DS 3;2022;6 081 km;Electrique;41 595 €;Automatique;E-Tense Bastille
DS 3;2022;9 398 km;Electrique;38 144 €;Automatique;E-Tense Performance Line+
DS 3;2022;9 813 km;Electrique;41 456 €;Automatique;E-Tense Bastille
DS 3;2022;14 122 km;Electrique;38 398 €;Automatique;E-Tense Performance Line+
Peugeot 3008;2022;35 171 km;Hybride rechargeable;40 060 €;Automatique;Hybrid4 300 e-EAT8 GT Pack
DS 3;2023;8 km;Electrique;43 900 €;Automatique;E-Tense Rivoli
Peugeot 2008;2022;2 230 km;Electrique;31 850 €;Automatique;Electrique 136 ch Allure
DS 3;2023;394 km;Electrique;43 750 €;Automatique;E-Tense Rivoli
Citroën C4 X;2022;1 468 km;Electrique;41 450 €;Automatique;e-C4 X 136 ch Automatique Shine
DS 3;2023;36 km;Electrique;43 900 €;Automatique;E-Tense Rivoli
Citroën C5 X;2022;8 142 km;Hybride rechargeable;40 600 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Feel Pack
Peugeot 2008;2022;7 km;Electrique;40 315 €;Automatique;Electrique 136 ch GT Pack
Citroën C4 X;2022;538 km;Electrique;40 360 €;Automatique;e-C4 X 136 ch Automatique Shine
DS 3;2023;26 km;Electrique;41 150 €;Automatique;E-tense performance Line
Citroën C5 X;2023;4 926 km;Hybride rechargeable;38 900 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
DS 3;2023;54 km;Electrique;41 150 €;Automatique;E-tense performance Line
DS 3;2022;6 692 km;Electrique;45 363 €;Automatique;E-Tense Opera
Peugeot 508;2022;11 699 km;Hybride rechargeable;52 750 €;Automatique;Hybrid4 360 e-EAT8 Peugeot Sport Engineered
Peugeot 508;2022;13 636 km;Hybride rechargeable;40 883 €;Automatique;SW Hybrid 225 e-EAT8 Active Pack
Peugeot 508;2022;28 593 km;Hybride rechargeable;33 621 €;Automatique;Hybrid 225 e-EAT8 Allure Pack
Peugeot 208;2023;3 km;Electrique;25 900 €;Automatique;Electrique 50 kWh 136ch Allure
Peugeot 2008;2022;12 028 km;Electrique;35 591 €;Automatique;Electrique 136 ch GT
Peugeot 2008;2022;13 562 km;Electrique;30 831 €;Automatique;Electrique 136 ch Allure
DS 3;2021;16 385 km;Electrique;30 109 €;Automatique;3 Crossback E-Tense Grand Chic
Citroën C4;2022;250 km;Electrique;33 050 €;Automatique;e-C4 136 ch Automatique Shine
DS 3;2021;11 693 km;Electrique;29 716 €;Automatique;3 Crossback E-Tense Connected Chic
DS 3;2021;9 337 km;Electrique;30 951 €;Automatique;3 Crossback E-Tense Grand Chic
DS 3;2021;8 175 km;Electrique;30 679 €;Automatique;3 Crossback E-Tense Connected Chic
DS 3;2021;15 735 km;Electrique;30 158 €;Automatique;3 Crossback E-Tense Grand Chic
DS 3;2021;11 500 km;Electrique;30 010 €;Automatique;3 Crossback E-Tense Connected Chic
DS 3;2021;9 767 km;Electrique;32 350 €;Automatique;3 Crossback E-Tense Performance Line+
DS 3;2021;12 094 km;Electrique;30 450 €;Automatique;3 Crossback E-Tense Grand Chic
DS 3;2021;10 954 km;Electrique;32 400 €;Automatique;3 Crossback E-Tense Performance Line+
Peugeot 208;2020;80 531 km;Essence;17 850 €;Automatique;Puretech 130 S&S EAT8 GT Line
DS 3;2021;11 814 km;Electrique;31 742 €;Automatique;Crossback E-Tense Grand Chic
Citroën C3;2023;5 530 km;Essence;20 490 €;Automatique;PureTech 110 S&S EAT6 Shine
Citroën C3;2023;9 385 km;Essence;18 990 €;Manuelle;PureTech 110 S&S BVM6 shine
Peugeot 3008;2020;22 142 km;Essence;24 290 €;Manuelle;Puretech 130ch S&S BVM6 GT Line
Renault Koleos;2018;94 875 km;Diesel;18 490 €;Manuelle;dCi 130 4x2 Energy Intens
Peugeot 2008;2022;44 728 km;Diesel;25 490 €;Automatique;BlueHDi 130 S&S EAT8 GT
Peugeot 2008;2021;26 962 km;Electrique;24 490 €;Automatique;Electrique 136 ch GT
BMW Serie 1;2017;56 598 km;Diesel;22 990 €;Automatique;18d 150 ch BVA8 M Sport
Citroën C3;2019;57 576 km;Essence;14 970 €;Automatique;PureTech 110 S&S EAT6 Shine
Citroën C3;2019;102 520 km;Diesel;10 490 €;Manuelle;BlueHDi 100 S&S BVM Feel Business
Citroën C4 Cactus;2020;68 675 km;Essence;13 470 €;Manuelle;PureTech 110 S&S BVM6 Feel
Citroën C3;2021;47 356 km;Essence;11 490 €;Manuelle;PureTech 83 S&S BVM5 Shine
Citroën C3;2021;20 970 km;Essence;17 470 €;Automatique;PureTech 110 S&S EAT6 Shine Pack
Peugeot 208;2017;84 317 km;Essence;10 789 €;Manuelle;1.2 PureTech 110ch S&S BVM5 GT Line
Peugeot 3008;2020;93 174 km;Diesel;26 190 €;Automatique;BlueHDi 180ch S&S EAT8 GT Line
Citroën C4;2023;3 095 km;Diesel;26 990 €;Automatique;BlueHDi 130 S&S EAT8 Feel Pack
Citroën C5 Aircross;2023;2 809 km;Hybride rechargeable;40 990 €;Automatique;Hybride Rechargeable 225 e-EAT8 C-Series
Peugeot 408;2023;14 071 km;Essence;29 985 €;Automatique;PureTech 130 ch S&S EAT8 Allure Pack
Peugeot 408;2023;14 743 km;Hybride rechargeable;39 985 €;Automatique;PHEV 225 e-EAT8 Allure Pack
Peugeot 208;2023;14 946 km;Essence;16 485 €;Manuelle;PureTech 75 S&S BVM5 Style
Citroën C5 X;2023;890 km;Hybride rechargeable;40 990 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Peugeot 208;2021;53 800 km;Diesel;12 990 €;Manuelle;BLUEHDI 100 S&S BVM6 PREMIUM PACK
Peugeot 208;2022;15 043 km;Essence;22 989 €;Automatique;PureTech 130 S&S EAT8 Allure Pack
Peugeot 208;2021;15 079 km;Electrique;22 289 €;Automatique;Electrique 50 kWh 136ch Allure
Peugeot 208;2020;44 346 km;Diesel;11 689 €;Manuelle;BLUEHDI 100 S&S BVM5 PREMIUM
Peugeot 208;2019;50 331 km;Essence;19 290 €;Automatique;PureTech 130 S&S EAT8 Allure
Citroën C4;2021;27 941 km;Diesel;24 389 €;Automatique;BlueHDi 130 S&S EAT8 Shine Pack
Citroën C3;2020;18 104 km;Essence;12 789 €;Manuelle;PureTech 83 S&S BVM5 Feel Pack
Peugeot 2008;2020;42 128 km;Electrique;21 789 €;Automatique;Moteur electrique 136 ch GT
Peugeot 2008;2020;44 261 km;Essence;19 889 €;Manuelle;PureTech 100 S&S BVM6 Allure Business
Citroën C4 X;2022;10 500 km;Essence;28 590 €;Automatique;PureTech 130 S&S EAT8 Shine
